旅宿名稱	來源	Google地圖評分
漫步綠洲旅店	臺北旅遊網住宿資料	4.6
?朗旅宿	臺北旅遊網住宿資料	查無資料
晶棧行旅	臺北旅遊網住宿資料	4.5
茶色部屋行旅 站前館	臺北旅遊網住宿資料	查無資料
合洋背包客棧	臺北旅遊網住宿資料	3.6
在家行旅南西館	臺北旅遊網住宿資料	查無資料
雀客藏居台北內湖	臺北旅遊網住宿資料	查無資料
鉑泊客2館	臺北旅遊網住宿資料	4.2
太子文旅-修齊館	臺北旅遊網住宿資料	4.5
美好行旅北車漢口館	臺北旅遊網住宿資料	4.4
古奈堡精品旅館	臺北旅遊網住宿資料	4.1
臺北嘉佩樂酒店 Capella Taipei	臺北旅遊網住宿資料	4.8
捷絲旅臺大尊賢館	臺北旅遊網住宿資料	4.6
天雲旅棧台北開封	臺北旅遊網住宿資料	4.4
樂爾公寓	臺北旅遊網住宿資料	4.6
貓尾口袋（西門館）	臺北旅遊網住宿資料	4.8
北投晶泉丰旅	臺北旅遊網住宿資料	4.9
享住青旅	臺北旅遊網住宿資料	4.7
大光瀛商旅	臺北旅遊網住宿資料	查無資料
日光樂居成都館	臺北旅遊網住宿資料	4.1
頭等艙飯店西門館	臺北旅遊網住宿資料	查無資料
梧邸酒店台北杭州	臺北旅遊網住宿資料	4.2
台北大安伊普索酒店	臺北旅遊網住宿資料	4.4
美好行旅	臺北旅遊網住宿資料	查無資料
金通商旅	臺北旅遊網住宿資料	查無資料
日初青旅	臺北旅遊網住宿資料	4.8
藝築文旅昆明館	臺北旅遊網住宿資料	3
豐宿創新壹旅	臺北旅遊網住宿資料	查無資料
歐法行旅	臺北旅遊網住宿資料	3.8
美好境界旅店	臺北旅遊網住宿資料	4.3
福泰桔子商務旅館西門漢中店	臺北旅遊網住宿資料	查無資料
瀚寓夏天	臺北旅遊網住宿資料	4.8
日光樂居	臺北旅遊網住宿資料	4.1
客憩旅宿	臺北旅遊網住宿資料	4
天閣酒店(台北林森)	臺北旅遊網住宿資料	查無資料
相鐵飯店台北西門	臺北旅遊網住宿資料	4.7
柯達大飯店台北南京	臺北旅遊網住宿資料	4.3
台北漢來大飯店	臺北旅遊網住宿資料	4.5
福華國際文教會館	臺北旅遊網住宿資料	4.2
家美瑞品 台北	臺北旅遊網住宿資料	4.1
宏洲旅社	臺北旅遊網住宿資料	4.5
金弘旅社	臺北旅遊網住宿資料	3.5
西門雲町旅店	臺北旅遊網住宿資料	查無資料
台灣西鐵國際旅館	臺北旅遊網住宿資料	4.6
成都壹壹壹商旅	臺北旅遊網住宿資料	查無資料
摩莎曼拉商務旅館-西門館	臺北旅遊網住宿資料	3.5
全界精品旅館	臺北旅遊網住宿資料	
陸號行旅西門館	臺北旅遊網住宿資料	3.6
慶爾喜旅館西門捷運館2.4	臺北旅遊網住宿資料	2.4
見潭璞旅	臺北旅遊網住宿資料	4.3
天母之星商務會館	臺北旅遊網住宿資料	4.3
台北棧	臺北旅遊網住宿資料	4.3
番茄行旅	臺北旅遊網住宿資料	4.9
台北西門窩青年旅館	臺北旅遊網住宿資料	3.8
珂曼旅館	臺北旅遊網住宿資料	4.5
葛瑞絲商旅敦北館	臺北旅遊網住宿資料	4.4
米窩飯店-松山	臺北旅遊網住宿資料	4
陸號行旅中華館	臺北旅遊網住宿資料	查無資料
苓旅旅館萬年館	臺北旅遊網住宿資料	3.6
慕誠行旅	臺北旅遊網住宿資料	4.3
侘侘行旅	臺北旅遊網住宿資料	查無資料
希爾商旅台北館	臺北旅遊網住宿資料	查無資料
雀客快捷台北永康	臺北旅遊網住宿資料	4.5
米窩飯店-站前	臺北旅遊網住宿資料	查無資料
喜園旅館	臺北旅遊網住宿資料	3.1
北投會館-北捷行旅	臺北旅遊網住宿資料	4.6
城市商旅北門二館	臺北旅遊網住宿資料	4
安捷國際公寓酒店	臺北旅遊網住宿資料	4.3
陸號行旅萬年館	臺北旅遊網住宿資料	3.9
星西門行旅	臺北旅遊網住宿資料	3.9
寒居酒店 Humble Boutique Hotel	臺北旅遊網住宿資料	4.6
日野苑	臺北旅遊網住宿資料	4.3
城市商旅德立莊二館	臺北旅遊網住宿資料	查無資料
雅齊旅館	臺北旅遊網住宿資料	4.6
雀客藏居台北南港	臺北旅遊網住宿資料	4.2
時尚居商旅	臺北旅遊網住宿資料	4.7
森浩文旅-STEP INN	臺北旅遊網住宿資料	4.5
承攜行旅台北八德館	臺北旅遊網住宿資料	4.3
漢普頓酒店	臺北旅遊網住宿資料	4.7
格拉斯麗台北飯店	臺北旅遊網住宿資料	4.5
